"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","SaleToListPrice","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","21144","MD","Baltimore-Towson, MD",2750,19,0.9903,18.1416,113,3.15789473684211,5.35483870967742
"Zip","21230","MD","Baltimore-Towson, MD",2004,19,0.9862,17.507,108,1.84210526315789,5.35483870967742
"Zip","21214","MD","Baltimore-Towson, MD",3531,19,0.9886,17.1053,118,4.47368421052632,5.35483870967742
"Zip","21222","MD","Baltimore-Towson, MD",1216,19,0.9865,15.6006,114,2.63157894736842,5.35483870967742
"Zip","21220","MD","Baltimore-Towson, MD",1926,19,0.9903,18.2222,139,7.10526315789474,5.35483870967742
"Zip","21136","MD","Baltimore-Towson, MD",2519,19,0.9729,12.0603,116,3.94736842105263,5.35483870967742
"Zip","21225","MD","Baltimore-Towson, MD",2682,19,0.9696,19.3038,142,10,5.35483870967742
"Zip","21208","MD","Baltimore-Towson, MD",2141,19,0.9647,14.5604,117,7.63157894736842,5.35483870967742
"Zip","21228","MD","Baltimore-Towson, MD",1530,19,0.9839,18.8295,109,5,5.35483870967742
"Zip","21227","MD","Baltimore-Towson, MD",2524,19,1,19.2171,102,1.05263157894737,5.35483870967742
"Zip","21206","MD","Baltimore-Towson, MD",1473,19,1.0203,19.0252,134,6.31578947368421,5.35483870967742
"Zip","21216","MD","Baltimore-Towson, MD",2847,19,0.9832,16.7488,101,2.10526315789474,5.35483870967742
"Zip","21237","MD","Baltimore-Towson, MD",2721,19,0.9818,16.129,118,6.05263157894737,5.35483870967742
"Zip","21215","MD","Baltimore-Towson, MD",1178,19,1.0082,16.0267,124,2.89473684210526,5.35483870967742
"Zip","21236","MD","Baltimore-Towson, MD",1910,19,0.9903,19.346,111.5,4.21052631578947,5.35483870967742
"Zip","21045","MD","Baltimore-Towson, MD",2020,19,0.984,19.8992,98,3.42105263157895,5.35483870967742
"Zip","21117","MD","Baltimore-Towson, MD",1122,19,0.9711,18.4584,116,9.21052631578947,5.35483870967742
"Zip","21213","MD","Baltimore-Towson, MD",2877,19,1.0564,14.5669,120,0.789473684210526,5.35483870967742
"Zip","21040","MD","Baltimore-Towson, MD",3379,19,1.0874,16.2698,113,0.263157894736842,5.35483870967742
"Zip","21212","MD","Baltimore-Towson, MD",2501,19,0.9786,19.0883,101,5.52631578947368,5.35483870967742
"Zip","21078","MD","Baltimore-Towson, MD",3512,19,0.9667,12.5341,182,9.47368421052632,5.35483870967742
"Zip","21014","MD","Baltimore-Towson, MD",2233,19,0.9785,14.9635,120.5,6.57894736842105,5.35483870967742
"Zip","21122","MD","Baltimore-Towson, MD",1225,19,0.9855,18.4073,114.5,5.78947368421053,5.35483870967742
"Zip","21157","MD","Baltimore-Towson, MD",2293,19,0.975,14.3192,126,6.84210526315789,5.35483870967742
"Zip","21043","MD","Baltimore-Towson, MD",1800,19,0.9861,18.2825,111.5,4.73684210526316,5.35483870967742
"Zip","21217","MD","Baltimore-Towson, MD",2160,19,0.9714,13.615,126,7.89473684210526,5.35483870967742
"Zip","21218","MD","Baltimore-Towson, MD",1435,19,1,16.1404,117.5,1.57894736842105,5.35483870967742
"Zip","21224","MD","Baltimore-Towson, MD",1330,19,0.978,17.8161,120.5,8.94736842105263,5.35483870967742
"Zip","21229","MD","Baltimore-Towson, MD",1648,19,0.9649,16.8242,113.5,8.68421052631579,5.35483870967742
"Zip","21001","MD","Baltimore-Towson, MD",3228,19,0.9656,16.0428,126,9.73684210526316,5.35483870967742
"Zip","21133","MD","Baltimore-Towson, MD",2816,19,0.987,15.0538,113.5,1.31578947368421,5.35483870967742
"Zip","21207","MD","Baltimore-Towson, MD",1525,19,1.0026,18.0974,104.5,0.526315789473684,5.35483870967742
"Zip","21244","MD","Baltimore-Towson, MD",2193,19,0.9778,14.554,115,5.26315789473684,5.35483870967742
"Zip","21093","MD","Baltimore-Towson, MD",1953,19,0.9722,16.1392,99,3.68421052631579,5.35483870967742
"Zip","35216","AL","Birmingham-Hoover, AL",2011,NA,0.9634,12.6943,124,9.33333333333333,NA
"Zip","35242","AL","Birmingham-Hoover, AL",1220,NA,0.9631,9.6452,125.5,8,NA
"Zip","35040","AL","Birmingham-Hoover, AL",3653,NA,0.9768,9.8958,104,0.666666666666667,NA
"Zip","35080","AL","Birmingham-Hoover, AL",3708,NA,0.9601,8.5973,98,3.33333333333333,NA
"Zip","35124","AL","Birmingham-Hoover, AL",3182,NA,0.9747,11.0526,104.5,2.66666666666667,NA
"Zip","35209","AL","Birmingham-Hoover, AL",2483,NA,0.9665,11.9231,117.5,6.66666666666667,NA
"Zip","35007","AL","Birmingham-Hoover, AL",3091,NA,0.9741,12.8114,105,4,NA
"Zip","35126","AL","Birmingham-Hoover, AL",3433,NA,0.9923,10.8974,154,4.66666666666667,NA
"Zip","35173","AL","Birmingham-Hoover, AL",3049,NA,0.9701,9.4926,141,5.33333333333333,NA
"Zip","35215","AL","Birmingham-Hoover, AL",1607,NA,0.978,7.395,147.5,1.33333333333333,NA
"Zip","35226","AL","Birmingham-Hoover, AL",2303,NA,0.9755,10.3876,117,2,NA
"Zip","35022","AL","Birmingham-Hoover, AL",3369,NA,0.9677,9.6471,177,8.66666666666667,NA
"Zip","35244","AL","Birmingham-Hoover, AL",2402,NA,0.9595,10.4331,116.5,7.33333333333333,NA
"Zip","35214","AL","Birmingham-Hoover, AL",3548,NA,0.9259,8.8235,170,10,NA
"Zip","35235","AL","Birmingham-Hoover, AL",3481,NA,0.975609756097561,10.8392,160,6,NA
"Zip","34240","FL","Bradenton-Sarasota-Venice, FL",3827,59,0.968,18.7117,105,6.55172413793103,7.87096774193548
"Zip","34236","FL","Bradenton-Sarasota-Venice, FL",3476,59,0.9505,9.311,154,8.27586206896552,7.87096774193548
"Zip","34231","FL","Bradenton-Sarasota-Venice, FL",1952,59,0.9564,15.1724,98,7.93103448275862,7.87096774193548
"Zip","34242","FL","Bradenton-Sarasota-Venice, FL",3599,59,0.9399,13.9767,165,10,7.87096774193548
"Zip","34219","FL","Bradenton-Sarasota-Venice, FL",3381,59,0.9582,16.43,108,8.96551724137931,7.87096774193548
"Zip","34233","FL","Bradenton-Sarasota-Venice, FL",3501,59,0.9697,16.4456,74,1.37931034482759,7.87096774193548
"Zip","34285","FL","Bradenton-Sarasota-Venice, FL",2304,59,0.9508,14.2628,92,5.86206896551724,7.87096774193548
"Zip","34241","FL","Bradenton-Sarasota-Venice, FL",3725,59,0.9659,15,118.5,5.17241379310345,7.87096774193548
"Zip","34237","FL","Bradenton-Sarasota-Venice, FL",3600,59,0.9824,11.8483,77,0.344827586206897,7.87096774193548
"Zip","34209","FL","Bradenton-Sarasota-Venice, FL",1958,59,0.9607,16.3793,90,4.48275862068965,7.87096774193548
"Zip","34243","FL","Bradenton-Sarasota-Venice, FL",2547,59,0.9667,15.2318,91,2.41379310344828,7.87096774193548
"Zip","34203","FL","Bradenton-Sarasota-Venice, FL",1917,59,0.974,19.4107,99,4.82758620689655,7.87096774193548
"Zip","34288","FL","Bradenton-Sarasota-Venice, FL",3797,59,0.9832,14.9813,103,2.06896551724138,7.87096774193548
